"","company","region","seniority","job_category","gender","ethnicity","count","inflow","outflow","salary","year"
"67","Apple","Arab States",5,"Marketing","male","api",0.092094,0,0,16463.2190853096,"2020"
"68","Databricks","Central and Western Asia",2,"Sales","male","black",0,0,0,NA,"2020"
"69","Apple","Arab States",3,"Engineer","female","black",7.565303,0.002088,0.00159699999999999,451071.253955019,"2020"
"70","Bristol Myers Squibb Co.","Eastern Europe",1,"Engineer","female","api",0.018367,0,0,558.252235135477,"2020"
"71","The Goldman Sachs Group","Arab States",6,"Sales","male","multiple",0,0,0,NA,"2020"
"72","The Goldman Sachs Group","Northern Europe",5,"Marketing","female","api",2.414873,0.001026,0.002373,301303.781772136,"2020"
"73","Apple","Western Europe",5,"Admin","female","white",6.334856,0.001479,0.365175,1005406.70990082,"2020"
"74","The Home Depot","Northern Africa",1,"Marketing","female","api",0.008685,0,0,120.106160595179,"2020"
"75","Apple","Southern Europe",5,"Marketing","male","api",0.800339,0.000165,0.000135,73924.1723432128,"2020"
"76","Accenture Plc","Northern Europe",5,"Marketing","male","api",6.096275,0.001433,0.033498,480385.659138945,"2020"
"77","The Home Depot","Southern Asia",3,"Finance","male","multiple",0.59719,0.000209,0.00017799999999999,10590.0907022544,"2020"
"78","Accenture Plc",NA,1,"empty","female","white",2.497999,0.002189,0.001106,80039.818225702,"2020"
"79","Bristol Myers Squibb Co.","Western Europe",2,"Finance","female","native",0.096179,9.3e-05,8.7e-05,8438.09375837458,"2020"
"80","Apple","Southern Europe",5,"Marketing","male","hispanic",2.846378,0.091061,0.00021,227742.532839019,"2020"
"81","Accenture Plc","Southern Asia",1,"Marketing","female","native",3.023954,0.019831,0.094373,28012.5658616817,"2020"
"82","The Goldman Sachs Group","Pacific Islands",2,"Sales","female","black",0.794887,0.000662,0.000156,81878.2132762677,"2020"
"83","Bristol Myers Squibb Co.","South-Eastern Asia",3,"Admin","male","multiple",0.000989,0,0,13.565344357055,"2020"
"84","Apple","Southern Europe",5,"Finance","female","native",0.00672799999999999,0,0,560.050355189923,"2020"
"85","The Home Depot","Northern Europe",3,"Sales","female","multiple",0.23992,6.8e-05,3.7e-05,14184.1832031542,"2020"
"86","The Home Depot","Western Europe",5,"Engineer","female","multiple",0.048,0,0,2941.00551736549,"2020"
"87","Accenture Plc","Arab States",5,"Operations","male","white",22.999133,0.010091,0.009294,2495816.8719518,"2020"
"88","Accenture Plc","Pacific Islands",2,"Scientist","male","white",2.462476,0.00050199999999999,0.00189599999999999,150933.707546514,"2020"
"89","The Home Depot","Southern Europe",5,"Sales","male","white",6.239459,0.001488,0.001743,565737.430768642,"2020"
"90","Accenture Plc","Northern Europe",7,"Engineer","female","native",0.004,0,0,466.737223860819,"2020"
"91","Accenture Plc","Northern Europe",6,"Scientist","male","multiple",0.10917,0,0,10123.3716982022,"2020"
"92","Accenture Plc","Pacific Islands",3,"empty","female","multiple",0.032459,0,0,2301.90083549513,"2020"
"93","Apple","Northern America",1,"Admin","female","api",187.133182,7.282089,8.757372,8957368.38798221,"2020"
"94","Apple","Northern Africa",2,"Finance","male","hispanic",10.959948,0.002062,0.001557,180981.881141586,"2020"
"95","Bristol Myers Squibb Co.","Southern Asia",1,"Engineer","male","hispanic",0.438274,0.000224,0.00022,6179.55581134161,"2020"
"96","The Goldman Sachs Group","South-Eastern Asia",1,"Operations","male","black",0.015962,0,0,453.706492512783,"2020"
"97","The Home Depot","Northern America",3,"Engineer","male","black",167.558392,4.677675,2.595119,17741674.5385388,"2020"
"98","Apple","Southern Europe",3,"Scientist","female","black",0.335815,4.8e-05,0.012578,20104.6973730368,"2020"
"99","Apple","Sub-Saharan Africa",3,"Finance","male","black",38.892101,0.004603,0.00349899999999999,577846.392498184,"2020"
"100","The Home Depot","Northern Europe",5,"empty","female","white",4e-05,0,0,NA,"2020"
"101","The Home Depot","South-Eastern Asia",2,"empty","male","api",0.250905,6.9e-05,6.8e-05,23993.0156763086,"2020"
"102","Bristol Myers Squibb Co.","Pacific Islands",3,"Sales","female","white",7.644473,0.00506299999999999,0.00420099999999999,605558.972981164,"2020"
"103","The Home Depot",NA,5,"Operations","male","white",14.634339,1.289183,0.00276999999999999,929991.936779567,"2020"
"104","Apple","Southern Europe",5,"Sales","male","white",66.118769,0.030141,0.859546,6648879.6532433,"2020"
